Asset_id,App name,App title,Category,Image,Url,UE Version,Compatible Versions,Review,Developer,Description,Uid,Creation Date,Update Date,Status,Date Added,Price,Old Price,On Sale,Purchased,Obsolete,Supported Versions,Page title,Grab result,Comment,Stars,Asset Folder,Must Buy,Test result,Installed Folder,Alternative
1232687d8df1b63V1,1232687d8df1b63V1,City Park Environment Collection LITE,projects,https://cdn1.epicgames.com/ue/product/Screenshot/CityParkLitescreenshot03-1920x1080-3ca55113b891a76b8fdd71399b60544e.png,nan,4.23.0-16687767+++depot+UE4-UserContent-Windows,"UE_4.24,UE_4.25,UE_4.26,UE_4.27,UE_5.0,UE_5.1",0.0,SilverTm,"This package contains high quality nature assets. It is ideal for creating city parks, forests, and squares.",2687d8df1b6344ff8ad1dbd4679381df,2021-06-15 07:41:13,2023-03-14 08:38:59,ACTIVE,2023-05-10 15:49:07.073851,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
1232687d8df1b63V2,1232687d8df1b63V2,City Park Environment Collection LITE,projects,https://cdn1.epicgames.com/ue/product/Screenshot/CityParkLitescreenshot03-1920x1080-3ca55113b891a76b8fdd71399b60544e.png,nan,4.23.0-18833898+++depot+UE4-UserContent-Windows,"UE_4.24,UE_4.25,UE_4.26,UE_4.27,UE_5.0,UE_5.1",0.0,SilverTm,"This package contains high quality nature assets. It is ideal for creating city parks, forests, and squares.",2687d8df1b6344ff8ad1dbd4679381df,2021-06-15 07:41:13,2023-03-14 08:38:59,ACTIVE,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
200Grunga3ee73c00c5cV1,200Grunga3ee73c00c5cV1,200+ Grunge Decals,assets,https://cdn1.epicgames.com/ue/item/store_texturemax_grunge_decals_screenshot_13-1920x1080-b3e4653e9f1e9b422f1488dc57a53699.png,nan,4.21.0-9872265+++depot+UE4-UserContent-Windows,"UE_4.7,UE_4.8,UE_4.9,UE_4.10,UE_4.11,UE_4.12,UE_4.13,UE_4.14,UE_4.15,UE_4.16,UE_4.17,UE_4.18,UE_4.19,UE_4.20,UE_4.21,UE_4.22,UE_4.23,UE_4.24,UE_4.25,UE_4.26,UE_4.27",0.0,TextureMax,213 grunge decals easily configurable via material instances.,a3ee73c00c5c4146a057e9fb00f3e3de,2015-04-22 19:54:01,2021-12-13 00:00:00,SUNSET,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
24Animat923330e63f16V1,24Animat923330e63f16V1,56 Animations For Creatures,assets,https://cdn1.epicgames.com/ue/product/Screenshot/Ue4-1920x1080-7f02f0944af26f7d80667cc80a43443c.jpg,nan,4.23.0-16585973+++depot+UE4-UserContent-Windows,"UE_4.18,UE_4.19,UE_4.20,UE_4.21,UE_4.22,UE_4.23,UE_4.24,UE_4.25,UE_4.26,UE_4.27,UE_5.0,UE_5.1",0.0,Bugrimov Maksim,Great animations for your monsters,923330e63f16481eae9300f96c526322,2020-03-17 15:52:11,2023-03-08 07:20:36,ACTIVE,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
2DPlatformingKit,2DPlatformingKit,Platformer Kit 2D,projects,https://cdn1.epicgames.com/ue/product/Screenshot/mobile2-1920x1080-0bbaa8d4a1d54e8dd578aeb55d4673d2.png,nan,4.11.0-2710012+++depot+UE4-UserContent-Windows,"UE_4.8,UE_4.9,UE_4.10,UE_4.11,UE_4.12,UE_4.13,UE_4.14,UE_4.15,UE_4.16,UE_4.17,UE_4.18,UE_4.19,UE_4.20,UE_4.21,UE_4.22,UE_4.23,UE_4.24,UE_4.25,UE_4.26,UE_4.27,UE_5.0,UE_5.1",0.0,Polyart Studio,The 2D Platforming Kit is the ultimate tool for creating action platforming titles!,7bd7451eb50f4bb7a507908b1e485a70,2015-09-30 15:52:55,2023-03-14 08:25:33,ACTIVE,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
2DPlatformingKit410,2DPlatformingKit410,Platformer Kit 2D,projects,https://cdn1.epicgames.com/ue/product/Screenshot/mobile2-1920x1080-0bbaa8d4a1d54e8dd578aeb55d4673d2.png,nan,4.12.0-2928307+++depot+UE4-UserContent-Windows,"UE_4.8,UE_4.9,UE_4.10,UE_4.11,UE_4.12,UE_4.13,UE_4.14,UE_4.15,UE_4.16,UE_4.17,UE_4.18,UE_4.19,UE_4.20,UE_4.21,UE_4.22,UE_4.23,UE_4.24,UE_4.25,UE_4.26,UE_4.27,UE_5.0,UE_5.1",0.0,Polyart Studio,The 2D Platforming Kit is the ultimate tool for creating action platforming titles!,7bd7451eb50f4bb7a507908b1e485a70,2015-09-30 15:52:55,2023-03-14 08:25:33,ACTIVE,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
2DPlatformingKit413,2DPlatformingKit413,Platformer Kit 2D,projects,https://cdn1.epicgames.com/ue/product/Screenshot/mobile2-1920x1080-0bbaa8d4a1d54e8dd578aeb55d4673d2.png,nan,4.15.0-3197106+++depot+UE4-UserContent-Windows,"UE_4.8,UE_4.9,UE_4.10,UE_4.11,UE_4.12,UE_4.13,UE_4.14,UE_4.15,UE_4.16,UE_4.17,UE_4.18,UE_4.19,UE_4.20,UE_4.21,UE_4.22,UE_4.23,UE_4.24,UE_4.25,UE_4.26,UE_4.27,UE_5.0,UE_5.1",0.0,Polyart Studio,The 2D Platforming Kit is the ultimate tool for creating action platforming titles!,7bd7451eb50f4bb7a507908b1e485a70,2015-09-30 15:52:55,2023-03-14 08:25:33,ACTIVE,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
2DPlatformingKit414,2DPlatformingKit414,Platformer Kit 2D,projects,https://cdn1.epicgames.com/ue/product/Screenshot/mobile2-1920x1080-0bbaa8d4a1d54e8dd578aeb55d4673d2.png,nan,4.15.0-3206356+++depot+UE4-UserContent-Windows,"UE_4.8,UE_4.9,UE_4.10,UE_4.11,UE_4.12,UE_4.13,UE_4.14,UE_4.15,UE_4.16,UE_4.17,UE_4.18,UE_4.19,UE_4.20,UE_4.21,UE_4.22,UE_4.23,UE_4.24,UE_4.25,UE_4.26,UE_4.27,UE_5.0,UE_5.1",0.0,Polyart Studio,The 2D Platforming Kit is the ultimate tool for creating action platforming titles!,7bd7451eb50f4bb7a507908b1e485a70,2015-09-30 15:52:55,2023-03-14 08:25:33,ACTIVE,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
2DPlatformingKit49,2DPlatformingKit49,Platformer Kit 2D,projects,https://cdn1.epicgames.com/ue/product/Screenshot/mobile2-1920x1080-0bbaa8d4a1d54e8dd578aeb55d4673d2.png,nan,4.11.0-2743340+++depot+UE4-UserContent-Windows,"UE_4.8,UE_4.9,UE_4.10,UE_4.11,UE_4.12,UE_4.13,UE_4.14,UE_4.15,UE_4.16,UE_4.17,UE_4.18,UE_4.19,UE_4.20,UE_4.21,UE_4.22,UE_4.23,UE_4.24,UE_4.25,UE_4.26,UE_4.27,UE_5.0,UE_5.1",0.0,Polyart Studio,The 2D Platforming Kit is the ultimate tool for creating action platforming titles!,7bd7451eb50f4bb7a507908b1e485a70,2015-09-30 15:52:55,2023-03-14 08:25:33,ACTIVE,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
3DMapNavfc16fa016683V1,3DMapNavfc16fa016683V1,3D Map Navigation in Virtual Reality,projects,https://cdn1.epicgames.com/ue/product/Screenshot/216 - MP Screenshot 3 1080-1920x1080-87b39c45974176c43a4edaabc516fa22.png,nan,4.23.0-11356035+++depot+UE4-UserContent-Windows,"UE_4.22,UE_4.23,UE_4.24",0.0,Unreal Online Learning,Check out the description for more information about this course project from Unreal Online Learning.,fc16fa0166834901b63e7a570a6ee6a1,2020-02-12 13:49:00,2023-02-27 19:17:05,ACTIVE,2023-05-10 15:49:07.074853,0.0,0.0,False,False,False,nan,nan,PAGE_NOT_FOUND,nan,0.0,nan,False,nan,nan,nan
